Country,Region,City,Product Name,Product Price,Material Code,Material Quantity,Material Unit Cost,Material Shipping Cost
Australia,New South Wales,Freemans Reach,Product_16,22.28,MAT_044,15,0.93,0.09
Australia,New South Wales,Freemans Reach,Product_16,22.28,MAT_010,20,0.98,0.09
Australia,New South Wales,Freemans Reach,Product_16,22.28,MAT_042,15,0.97,0.09
Australia,New South Wales,Freemans Reach,Product_16,22.28,MAT_012,6,0.97,0.09
Australia,New South Wales,Freemans Reach,Product_16,22.28,MAT_013,4,0.93,0.09
Australia,New South Wales,Freemans Reach,Product_17,76.68,MAT_017,4,6.55,0.56
Australia,New South Wales,Freemans Reach,Product_17,76.68,MAT_023,10,6.7,0.56
Australia,New South Wales,Freemans Reach,Product_17,76.68,MAT_046,3,6.8,0.56
Australia,New South Wales,Freemans Reach,Product_17,76.68,MAT_005,6,6.73,0.56
Australia,New South Wales,Freemans Reach,Product_17,76.68,MAT_050,18,6.73,0.56
Australia,New South Wales,Freemans Reach,Product_17,76.68,MAT_038,13,6.78,0.56
Australia,New South Wales,Freemans Reach,Product_17,76.68,MAT_040,12,6.77,0.56
Australia,New South Wales,Freemans Reach,Product_17,76.68,MAT_026,11,6.67,0.56
Australia,New South Wales,Freemans Reach,Product_18,58.66,MAT_016,18,6.46,0.39
Australia,New South Wales,Freemans Reach,Product_18,58.66,MAT_019,12,6.5,0.39
Australia,New South Wales,Freemans Reach,Product_18,58.66,MAT_039,12,6.44,0.39
Australia,New South Wales,Freemans Reach,Product_18,58.66,MAT_003,8,6.6,0.39
Australia,New South Wales,Freemans Reach,Product_18,58.66,MAT_001,11,6.63,0.39
Australia,New South Wales,Freemans Reach,Product_18,58.66,MAT_015,15,6.47,0.39
Australia,New South Wales,Freemans Reach,Product_19,50.27,MAT_039,5,4.22,0.24
Australia,New South Wales,Freemans Reach,Product_19,50.27,MAT_049,11,4.26,0.24
Australia,New South Wales,Freemans Reach,Product_19,50.27,MAT_014,10,4.11,0.24
Australia,New South Wales,Freemans Reach,Product_19,50.27,MAT_034,14,4.26,0.24
Australia,New South Wales,Freemans Reach,Product_19,50.27,MAT_041,2,4.2,0.24
Australia,New South Wales,Freemans Reach,Product_19,50.27,MAT_015,9,4.29,0.24
Australia,New South Wales,Freemans Reach,Product_19,50.27,MAT_030,8,4.26,0.24
Australia,New South Wales,Freemans Reach,Product_20,70.42,MAT_031,12,4.49,0.32
Australia,New South Wales,Freemans Reach,Product_20,70.42,MAT_002,13,4.59,0.32
Australia,New South Wales,Freemans Reach,Product_20,70.42,MAT_039,1,4.53,0.32
Australia,New South Wales,Freemans Reach,Product_20,70.42,MAT_037,12,4.48,0.32
Australia,New South Wales,Freemans Reach,Product_20,70.42,MAT_026,12,4.66,0.32
Australia,New South Wales,Freemans Reach,Product_20,70.42,MAT_022,19,4.46,0.32
Australia,New South Wales,Freemans Reach,Product_20,70.42,MAT_049,7,4.53,0.32
Australia,New South Wales,Freemans Reach,Product_21,60.45,MAT_017,19,6.31,0.38
Australia,New South Wales,Freemans Reach,Product_21,60.45,MAT_048,14,6.13,0.38
Australia,New South Wales,Freemans Reach,Product_21,60.45,MAT_026,15,6.24,0.38
Australia,New South Wales,Freemans Reach,Product_21,60.45,MAT_021,5,6.28,0.38
Australia,New South Wales,Freemans Reach,Product_21,60.45,MAT_039,3,6.14,0.38
Australia,New South Wales,Freemans Reach,Product_21,60.45,MAT_013,17,6.18,0.38
Australia,New South Wales,Freemans Reach,Product_21,60.45,MAT_040,11,6.41,0.38
Australia,New South Wales,Freemans Reach,Product_21,60.45,MAT_001,4,6.41,0.38
Australia,New South Wales,Freemans Reach,Product_22,42.16,MAT_005,17,4.59,0.26
Australia,New South Wales,Freemans Reach,Product_22,42.16,MAT_041,2,4.68,0.26
Australia,New South Wales,Freemans Reach,Product_22,42.16,MAT_032,14,4.68,0.26
Australia,New South Wales,Freemans Reach,Product_22,42.16,MAT_027,10,4.7,0.26
Australia,New South Wales,Freemans Reach,Product_22,42.16,MAT_038,3,4.7,0.26
Australia,New South Wales,Freemans Reach,Product_22,42.16,MAT_037,19,4.52,0.26
Australia,New South Wales,Freemans Reach,Product_22,42.16,MAT_050,8,4.58,0.26
Australia,New South Wales,Freemans Reach,Product_22,42.16,MAT_035,5,4.71,0.26
Australia,New South Wales,Freemans Reach,Product_23,36.89,MAT_026,17,3.59,0.29
Australia,New South Wales,Freemans Reach,Product_23,36.89,MAT_040,9,3.62,0.29
Australia,New South Wales,Freemans Reach,Product_23,36.89,MAT_015,4,3.72,0.29
Australia,New South Wales,Freemans Reach,Product_23,36.89,MAT_041,7,3.6,0.29
Australia,New South Wales,Freemans Reach,Product_23,36.89,MAT_030,13,3.55,0.29
Australia,New South Wales,Freemans Reach,Product_23,36.89,MAT_013,2,3.59,0.29
Australia,New South Wales,Freemans Reach,Product_24,69.3,MAT_020,19,6.92,0.56
Australia,New South Wales,Freemans Reach,Product_24,69.3,MAT_006,10,7.04,0.56
Australia,New South Wales,Freemans Reach,Product_24,69.3,MAT_045,5,7.14,0.56
Australia,New South Wales,Freemans Reach,Product_24,69.3,MAT_034,11,6.77,0.56
Australia,New South Wales,Freemans Reach,Product_24,69.3,MAT_032,11,7.15,0.56
Australia,New South Wales,Freemans Reach,Product_24,69.3,MAT_013,8,7.16,0.56
Australia,New South Wales,Freemans Reach,Product_24,69.3,MAT_037,16,6.84,0.56
Australia,New South Wales,Freemans Reach,Product_24,69.3,MAT_047,12,6.88,0.56
Australia,New South Wales,Freemans Reach,Product_25,76.47,MAT_040,2,4.43,0.28
Australia,New South Wales,Freemans Reach,Product_25,76.47,MAT_013,11,4.56,0.28
Australia,New South Wales,Freemans Reach,Product_25,76.47,MAT_014,8,4.56,0.28
Australia,New South Wales,Freemans Reach,Product_25,76.47,MAT_017,14,4.48,0.28
Australia,New South Wales,Freemans Reach,Product_25,76.47,MAT_032,13,4.46,0.28
Australia,New South Wales,Freemans Reach,Product_25,76.47,MAT_023,14,4.37,0.28
Australia,New South Wales,Freemans Reach,Product_25,76.47,MAT_046,8,4.37,0.28
Australia,New South Wales,Freemans Reach,Product_25,76.47,MAT_003,14,4.55,0.28
Australia,New South Wales,Freemans Reach,Product_26,36.12,MAT_008,13,4.09,0.31
Australia,New South Wales,Freemans Reach,Product_26,36.12,MAT_003,19,3.95,0.31
Australia,New South Wales,Freemans Reach,Product_26,36.12,MAT_037,15,4.05,0.31
Australia,New South Wales,Freemans Reach,Product_26,36.12,MAT_030,1,4.01,0.31
Australia,New South Wales,Freemans Reach,Product_26,36.12,MAT_031,8,4.04,0.31
Australia,New South Wales,Freemans Reach,Product_26,36.12,MAT_016,10,3.98,0.31
Australia,New South Wales,Freemans Reach,Product_26,36.12,MAT_017,12,3.89,0.31
Australia,New South Wales,Freemans Reach,Product_27,42.23,MAT_028,17,7.99,0.52
Australia,New South Wales,Freemans Reach,Product_27,42.23,MAT_021,19,7.64,0.52
Australia,New South Wales,Freemans Reach,Product_27,42.23,MAT_006,19,8.01,0.52
Australia,New South Wales,Freemans Reach,Product_27,42.23,MAT_041,20,7.89,0.52
Australia,New South Wales,Freemans Reach,Product_27,42.23,MAT_024,12,7.58,0.52
Australia,New South Wales,Freemans Reach,Product_28,70.92,MAT_021,12,4.48,0.33
Australia,New South Wales,Freemans Reach,Product_28,70.92,MAT_017,11,4.54,0.33
Australia,New South Wales,Freemans Reach,Product_28,70.92,MAT_005,9,4.75,0.33
Australia,New South Wales,Freemans Reach,Product_28,70.92,MAT_049,13,4.69,0.33
Australia,New South Wales,Freemans Reach,Product_28,70.92,MAT_020,20,4.65,0.33
Australia,New South Wales,Freemans Reach,Product_28,70.92,MAT_006,3,4.6,0.33
Australia,New South Wales,Freemans Reach,Product_28,70.92,MAT_028,18,4.61,0.33
Australia,New South Wales,Freemans Reach,Product_28,70.92,MAT_001,14,4.66,0.33
Australia,New South Wales,Freemans Reach,Product_29,84.4,MAT_034,12,5.9,0.38
Australia,New South Wales,Freemans Reach,Product_29,84.4,MAT_042,15,5.94,0.38
Australia,New South Wales,Freemans Reach,Product_29,84.4,MAT_050,16,5.75,0.38
Australia,New South Wales,Freemans Reach,Product_29,84.4,MAT_007,11,5.97,0.38
Australia,New South Wales,Freemans Reach,Product_29,84.4,MAT_005,19,6.07,0.38
Australia,New South Wales,Freemans Reach,Product_29,84.4,MAT_033,9,6.02,0.38
Australia,New South Wales,Freemans Reach,Product_29,84.4,MAT_020,2,5.93,0.38
Australia,New South Wales,Freemans Reach,Product_29,84.4,MAT_001,9,5.99,0.38
Australia,New South Wales,Freemans Reach,Product_30,91.2,MAT_021,3,3.44,0.29
Australia,New South Wales,Freemans Reach,Product_30,91.2,MAT_007,18,3.6,0.29
Australia,New South Wales,Freemans Reach,Product_30,91.2,MAT_043,11,3.63,0.29
Australia,New South Wales,Freemans Reach,Product_30,91.2,MAT_047,9,3.5,0.29
Australia,New South Wales,Freemans Reach,Product_30,91.2,MAT_024,4,3.58,0.29
Australia,New South Wales,Freemans Reach,Product_30,91.2,MAT_044,12,3.64,0.29
Australia,New South Wales,Freemans Reach,Product_30,91.2,MAT_023,8,3.47,0.29
Australia,New South Wales,Freemans Reach,Product_30,91.2,MAT_002,20,3.51,0.29
Australia,New South Wales,Freemans Reach,Product_31,93.69,MAT_017,5,7.8,0.73
Australia,New South Wales,Freemans Reach,Product_31,93.69,MAT_026,8,8.01,0.73
Australia,New South Wales,Freemans Reach,Product_31,93.69,MAT_049,19,8.18,0.73
Australia,New South Wales,Freemans Reach,Product_31,93.69,MAT_016,15,7.79,0.73
Australia,New South Wales,Freemans Reach,Product_31,93.69,MAT_027,4,7.88,0.73
Australia,New South Wales,Freemans Reach,Product_31,93.69,MAT_029,17,8.04,0.73
Australia,New South Wales,Freemans Reach,Product_31,93.69,MAT_046,11,8.04,0.73
Australia,New South Wales,Freemans Reach,Product_32,22.93,MAT_046,15,4.15,0.36
Australia,New South Wales,Freemans Reach,Product_32,22.93,MAT_022,5,4.33,0.36
Australia,New South Wales,Freemans Reach,Product_32,22.93,MAT_024,11,4.17,0.36
Australia,New South Wales,Freemans Reach,Product_32,22.93,MAT_031,17,4.19,0.36
Australia,New South Wales,Freemans Reach,Product_32,22.93,MAT_045,6,4.31,0.36
Australia,New South Wales,Freemans Reach,Product_33,35.99,MAT_038,8,2.0,0.19
Australia,New South Wales,Freemans Reach,Product_33,35.99,MAT_021,8,2.04,0.19
Australia,New South Wales,Freemans Reach,Product_33,35.99,MAT_002,10,2.01,0.19
Australia,New South Wales,Freemans Reach,Product_33,35.99,MAT_049,12,1.98,0.19
Australia,New South Wales,Freemans Reach,Product_33,35.99,MAT_004,13,1.96,0.19
Australia,New South Wales,Freemans Reach,Product_33,35.99,MAT_037,16,2.03,0.19
Australia,New South Wales,Freemans Reach,Product_33,35.99,MAT_050,12,2.02,0.19
Australia,New South Wales,Freemans Reach,Product_33,35.99,MAT_001,8,1.98,0.19
Australia,New South Wales,Freemans Reach,Product_34,50.94,MAT_044,14,3.92,0.36
Australia,New South Wales,Freemans Reach,Product_34,50.94,MAT_009,7,3.98,0.36
Australia,New South Wales,Freemans Reach,Product_34,50.94,MAT_022,10,4.0,0.36
Australia,New South Wales,Freemans Reach,Product_34,50.94,MAT_046,10,3.91,0.36
Australia,New South Wales,Freemans Reach,Product_34,50.94,MAT_004,2,3.86,0.36
Australia,New South Wales,Freemans Reach,Product_34,50.94,MAT_048,18,3.88,0.36
Australia,New South Wales,Freemans Reach,Product_34,50.94,MAT_028,19,3.81,0.36
Australia,New South Wales,Freemans Reach,Product_34,50.94,MAT_003,15,3.85,0.36
Australia,New South Wales,Freemans Reach,Product_35,88.26,MAT_037,19,9.23,0.81
Australia,New South Wales,Freemans Reach,Product_35,88.26,MAT_030,8,9.14,0.81
Australia,New South Wales,Freemans Reach,Product_35,88.26,MAT_011,12,9.24,0.81
Australia,New South Wales,Freemans Reach,Product_35,88.26,MAT_023,5,9.25,0.81
Australia,New South Wales,Freemans Reach,Product_35,88.26,MAT_038,2,9.0,0.81
Australia,New South Wales,Freemans Reach,Product_35,88.26,MAT_041,8,8.98,0.81
Australia,New South Wales,Freemans Reach,Product_35,88.26,MAT_013,3,9.21,0.81
Australia,New South Wales,Freemans Reach,Product_35,88.26,MAT_028,9,9.31,0.81
Australia,New South Wales,Freemans Reach,Product_36,34.55,MAT_030,5,3.35,0.25
Australia,New South Wales,Freemans Reach,Product_36,34.55,MAT_047,7,3.42,0.25
Australia,New South Wales,Freemans Reach,Product_36,34.55,MAT_013,2,3.36,0.25
Australia,New South Wales,Freemans Reach,Product_36,34.55,MAT_049,11,3.27,0.25
Australia,New South Wales,Freemans Reach,Product_36,34.55,MAT_050,12,3.33,0.25
Australia,New South Wales,Freemans Reach,Product_36,34.55,MAT_008,8,3.26,0.25
Australia,New South Wales,Freemans Reach,Product_36,34.55,MAT_035,11,3.39,0.25
Australia,New South Wales,Freemans Reach,Product_37,35.21,MAT_037,20,2.58,0.17
Australia,New South Wales,Freemans Reach,Product_37,35.21,MAT_050,4,2.47,0.17
Australia,New South Wales,Freemans Reach,Product_37,35.21,MAT_039,7,2.48,0.17
Australia,New South Wales,Freemans Reach,Product_37,35.21,MAT_010,8,2.5,0.17
Australia,New South Wales,Freemans Reach,Product_37,35.21,MAT_021,18,2.55,0.17
Australia,New South Wales,Freemans Reach,Product_37,35.21,MAT_015,3,2.47,0.17
Australia,New South Wales,Freemans Reach,Product_37,35.21,MAT_017,9,2.48,0.17
Australia,New South Wales,Freemans Reach,Product_38,83.59,MAT_045,7,5.45,0.54
Australia,New South Wales,Freemans Reach,Product_38,83.59,MAT_020,17,5.62,0.54
Australia,New South Wales,Freemans Reach,Product_38,83.59,MAT_047,6,5.63,0.54
Australia,New South Wales,Freemans Reach,Product_38,83.59,MAT_036,13,5.7,0.54
Australia,New South Wales,Freemans Reach,Product_38,83.59,MAT_043,10,5.63,0.54
Australia,New South Wales,Freemans Reach,Product_38,83.59,MAT_013,4,5.53,0.54
Australia,New South Wales,Freemans Reach,Product_38,83.59,MAT_012,18,5.68,0.54
Australia,New South Wales,Freemans Reach,Product_38,83.59,MAT_039,6,5.63,0.54
Australia,New South Wales,Freemans Reach,Product_39,75.53,MAT_050,14,7.5,0.71
Australia,New South Wales,Freemans Reach,Product_39,75.53,MAT_011,20,7.26,0.71
Australia,New South Wales,Freemans Reach,Product_39,75.53,MAT_048,15,7.48,0.71
Australia,New South Wales,Freemans Reach,Product_39,75.53,MAT_033,1,7.57,0.71
Australia,New South Wales,Freemans Reach,Product_39,75.53,MAT_017,16,7.62,0.71
Australia,New South Wales,Freemans Reach,Product_39,75.53,MAT_045,11,7.62,0.71
Australia,New South Wales,Freemans Reach,Product_39,75.53,MAT_024,1,7.41,0.71
Australia,New South Wales,Freemans Reach,Product_40,86.44,MAT_011,18,10.64,0.69
Australia,New South Wales,Freemans Reach,Product_40,86.44,MAT_047,19,10.88,0.69
Australia,New South Wales,Freemans Reach,Product_40,86.44,MAT_012,14,10.93,0.69
Australia,New South Wales,Freemans Reach,Product_40,86.44,MAT_048,9,11.02,0.69
Australia,New South Wales,Freemans Reach,Product_40,86.44,MAT_039,2,11.16,0.69
Australia,New South Wales,Freemans Reach,Product_40,86.44,MAT_020,6,10.68,0.69
Australia,New South Wales,Freemans Reach,Product_40,86.44,MAT_016,1,10.83,0.69
Australia,New South Wales,Freemans Reach,Product_41,91.32,MAT_006,12,14.15,0.98
Australia,New South Wales,Freemans Reach,Product_41,91.32,MAT_025,6,14.65,0.98
Australia,New South Wales,Freemans Reach,Product_41,91.32,MAT_014,3,14.85,0.98
Australia,New South Wales,Freemans Reach,Product_41,91.32,MAT_022,2,14.25,0.98
Australia,New South Wales,Freemans Reach,Product_41,91.32,MAT_021,13,14.53,0.98
Australia,New South Wales,Freemans Reach,Product_42,52.96,MAT_050,2,7.95,0.79
Australia,New South Wales,Freemans Reach,Product_42,52.96,MAT_020,15,8.0,0.79
Australia,New South Wales,Freemans Reach,Product_42,52.96,MAT_031,8,7.88,0.79
Australia,New South Wales,Freemans Reach,Product_42,52.96,MAT_011,16,8.06,0.79
Australia,New South Wales,Freemans Reach,Product_42,52.96,MAT_025,6,8.28,0.79
Australia,New South Wales,Freemans Reach,Product_42,52.96,MAT_045,3,8.13,0.79
Australia,New South Wales,Freemans Reach,Product_43,44.84,MAT_044,9,1.72,0.16
Australia,New South Wales,Freemans Reach,Product_43,44.84,MAT_028,10,1.74,0.16
Australia,New South Wales,Freemans Reach,Product_43,44.84,MAT_021,12,1.72,0.16
Australia,New South Wales,Freemans Reach,Product_43,44.84,MAT_050,17,1.77,0.16
Australia,New South Wales,Freemans Reach,Product_43,44.84,MAT_043,18,1.76,0.16
Australia,New South Wales,Freemans Reach,Product_43,44.84,MAT_024,6,1.73,0.16
Australia,New South Wales,Freemans Reach,Product_43,44.84,MAT_035,11,1.7,0.16
Australia,New South Wales,Freemans Reach,Product_43,44.84,MAT_018,11,1.68,0.16
Australia,New South Wales,Freemans Reach,Product_44,26.83,MAT_046,20,3.15,0.18
Australia,New South Wales,Freemans Reach,Product_44,26.83,MAT_007,9,3.1,0.18
Australia,New South Wales,Freemans Reach,Product_44,26.83,MAT_038,8,3.17,0.18
Australia,New South Wales,Freemans Reach,Product_44,26.83,MAT_002,9,3.18,0.18
Australia,New South Wales,Freemans Reach,Product_44,26.83,MAT_013,16,3.12,0.18
Australia,New South Wales,Freemans Reach,Product_44,26.83,MAT_050,10,3.07,0.18
Australia,New South Wales,Freemans Reach,Product_44,26.83,MAT_010,14,3.18,0.18
Australia,New South Wales,Freemans Reach,Product_44,26.83,MAT_044,17,3.06,0.18
Australia,New South Wales,Freemans Reach,Product_45,54.87,MAT_034,7,6.38,0.34
Australia,New South Wales,Freemans Reach,Product_45,54.87,MAT_040,13,6.4,0.34
Australia,New South Wales,Freemans Reach,Product_45,54.87,MAT_018,15,6.37,0.34
Australia,New South Wales,Freemans Reach,Product_45,54.87,MAT_013,16,6.43,0.34
Australia,New South Wales,Freemans Reach,Product_45,54.87,MAT_005,2,6.32,0.34
Australia,New South Wales,Freemans Reach,Product_45,54.87,MAT_030,13,6.52,0.34
Australia,New South Wales,Freemans Reach,Product_45,54.87,MAT_049,8,6.47,0.34
Australia,New South Wales,Freemans Reach,Product_46,66.44,MAT_045,11,10.61,0.92
Australia,New South Wales,Freemans Reach,Product_46,66.44,MAT_021,9,10.16,0.92
Australia,New South Wales,Freemans Reach,Product_46,66.44,MAT_008,14,10.44,0.92
Australia,New South Wales,Freemans Reach,Product_46,66.44,MAT_016,12,10.57,0.92
Australia,New South Wales,Freemans Reach,Product_46,66.44,MAT_034,7,10.22,0.92
Australia,New South Wales,Freemans Reach,Product_47,86.76,MAT_044,10,10.63,0.58
Australia,New South Wales,Freemans Reach,Product_47,86.76,MAT_014,13,10.63,0.58
Australia,New South Wales,Freemans Reach,Product_47,86.76,MAT_040,1,10.67,0.58
Australia,New South Wales,Freemans Reach,Product_47,86.76,MAT_011,3,10.26,0.58
Australia,New South Wales,Freemans Reach,Product_47,86.76,MAT_035,7,10.19,0.58
